Country;Product;Import Export;Shipping Method;Port;Category;Quantity;Value;Date;Customs Code;Weight
North Macedonia;court;Export;Air;South Heather;Electronics;8065;8932.93;28/08/2023;810181;4176.97
Cape Verde;note;Export;Air;Josephborough;Electronics;1675;9927.69;13/10/2019;875712;3993.82
Estonia;moment;Export;Air;Terribury;Electronics;4908;5758.8;18/09/2022;518240;2372.7
Norway;writer;Export;Land;Tiffanyberg;Toys;6802;6906.8;17/03/2021;493506;268.54
Norway;tax;Export;Sea;New Michael;Electronics;9188;9905.04;03/12/2023;800671;3612.89
Aruba;author;Export;Land;North Jimmy;Machinery;9350;8013.68;03/07/2024;675970;4620.26
Liechtenstein;medical;Export;Air;Cannonborough;Clothing;7798;3680.61;12/10/2023;936798;4052.48
Tokelau;above;Export;Sea;Amberfort;Furniture;5061;3875.28;04/10/2023;483334;1006.32
Martinique;create;Export;Land;Michealbury;Clothing;716;7902.85;30/07/2021;175015;313.89
French Guiana;human;Export;Land;Christinabury;Toys;367;3135.67;25/09/2022;652255;847.43
Yemen;pull;Export;Air;Alyssaborough;Toys;2975;4950.09;09/07/2021;935188;4514.3
Guyana;sure;Export;Sea;North Susanside;Clothing;7532;1023.67;21/08/2023;381851;4937.3
Cambodia;cost;Export;Sea;West Jessicamouth;Electronics;9402;6790.54;16/02/2022;532622;4382.43
Cambodia;our;Export;Land;Lake Shannonton;Toys;3842;5708.07;31/07/2023;687160;3065.38
Australia;size;Export;Sea;East David;Electronics;5532;7255.04;20/10/2020;816265;2782.18
Paraguay;lead;Export;Air;Williamsburgh;Electronics;4550;2205.75;23/08/2021;729816;48.24
French Guiana;guy;Export;Sea;Lake Jordan;Clothing;6666;1201.52;14/01/2023;492988;559.96
Cuba;institution;Export;Sea;Samanthaville;Clothing;6606;3969.73;28/03/2021;496395;3632.04
France;than;Export;Air;Patriciabury;Furniture;2347;154.7;03/10/2019;508241;375.23
Swaziland;listen;Export;Air;Hoganview;Toys;1900;9581.87;12/02/2022;414480;2628.3
Botswana;less;Export;Air;New Tiffany;Furniture;5492;3140.43;19/05/2023;717621;476.19
Nicaragua;reflect;Export;Sea;Morenoburgh;Machinery;2799;1446.75;23/01/2024;759975;4923.66
Montserrat;her;Export;Sea;Lake Kathrynport;Furniture;601;9715.42;01/11/2019;603085;1075.78
Swaziland;five;Export;Sea;South Stephenfurt;Clothing;5051;6565.64;28/07/2021;348540;3877.16
Swaziland;career;Export;Air;Port Raymond;Machinery;5274;7515.27;16/10/2022;443034;3636.44
Nauru;natural;Export;Air;Jessicabury;Furniture;524;4535.97;12/07/2024;234752;2525.44
Svalbard & Jan Mayen Islands;month;Export;Land;West Christophermouth;Clothing;8500;7857.9;31/07/2024;565821;1852.61
Mongolia;example;Export;Air;East Annetown;Toys;4154;2134.53;08/03/2021;616750;432.08
Haiti;clearly;Export;Land;Thompsonfurt;Machinery;9855;9858.43;05/04/2022;388906;3036.89
Cameroon;truth;Export;Air;Blackwellview;Machinery;3927;3291.2;14/05/2021;259651;132.9
Liberia;cup;Export;Air;Port Angela;Toys;4141;4651.44;11/12/2020;454993;1791.67
Moldova;teach;Export;Air;Hessmouth;Toys;1506;1420.42;20/04/2024;159379;935.05
Mexico;industry;Export;Sea;Yolandashire;Electronics;9320;2040.2;11/03/2020;637594;2192.05
Timor-Leste;thing;Export;Sea;New Scott;Toys;2615;8282.76;28/01/2023;288476;880.09
Qatar;religious;Export;Sea;Christinabury;Machinery;9604;6235.97;17/12/2020;220097;2247.64
Dominican Republic;language;Export;Air;New Priscillashire;Toys;7087;4816.37;15/01/2024;351224;1522.27
Croatia;student;Export;Sea;North Brandon;Clothing;1187;7320.52;17/12/2019;751348;2278.56
French Southern Territories;approach;Export;Air;Port Mark;Clothing;2470;8938.25;05/10/2020;714886;59.19
Namibia;nothing;Export;Land;Daltonfort;Toys;2601;7313.51;06/07/2023;592783;2536.43
Spain;family;Export;Air;Riveraton;Furniture;9111;202.68;04/01/2023;858208;1608.13
Zimbabwe;fill;Export;Land;Maryfort;Electronics;6117;672.25;09/04/2020;332336;09.07
Croatia;simple;Export;Land;East Davidside;Clothing;4693;4745.32;07/05/2020;969159;852.35
Hong Kong;create;Export;Air;East Heather;Furniture;8488;9451.47;17/08/2022;831383;1090.43
British Indian Ocean Territory (Chagos Archipelago);who;Export;Air;Port Melissa;Toys;305;6200.55;06/07/2020;605963;4107.79
Canada;beautiful;Export;Sea;North Danielfurt;Electronics;802;4815.7;06/01/2024;413603;3742.67
Benin;believe;Export;Sea;Valdezborough;Toys;2187;7317.83;14/03/2021;934019;1365.38
Iraq;recent;Export;Land;East Kathleenberg;Machinery;6158;7263.91;09/02/2020;642971;2827.13
Malaysia;both;Export;Land;Jenniferborough;Machinery;8633;310.86;06/03/2023;246709;2647.69
Cyprus;guy;Export;Air;West Keithville;Furniture;7517;9318.6;12/11/2019;100414;4861.46
Uzbekistan;lawyer;Export;Sea;Reynoldsshire;Clothing;9662;8874.08;24/12/2019;233818;505.9
Czech Republic;evidence;Export;Land;North Jay;Electronics;2863;7629.08;07/06/2024;365329;3686.76
Trinidad and Tobago;matter;Export;Land;East Tim;Electronics;3481;1229.98;12/06/2022;520063;1612.59
Cuba;easy;Export;Sea;Elliotthaven;Furniture;7349;1608.86;29/09/2023;407698;847.69
Estonia;head;Export;Sea;Stephanieview;Clothing;1542;9678.27;03/05/2022;311300;586.05
New Zealand;without;Export;Land;South Miranda;Toys;9970;7560.96;08/12/2022;662074;1666.29
American Samoa;somebody;Export;Air;Espinozahaven;Machinery;257;576.29;20/08/2024;526049;3463.19
Cote d'Ivoire;least;Export;Sea;South Laurenside;Clothing;4577;6924.06;28/09/2020;849075;4743.51
Djibouti;forget;Export;Air;Lisaton;Electronics;4869;8637.75;05/03/2020;598452;3747.49
Panama;class;Export;Land;West Seanland;Toys;8857;7969.69;02/12/2020;219656;2423.69
Romania;throw;Export;Air;New Dawnview;Clothing;445;6701.86;22/02/2021;960054;2974.86
Tanzania;me;Export;Air;Lake Jason;Furniture;9649;2480.77;21/01/2023;190748;2273.79
United States Virgin Islands;all;Export;Air;Krausechester;Electronics;2465;5933.42;28/09/2021;244441;1946.9
Turks and Caicos Islands;pattern;Export;Land;Crawfordhaven;Machinery;6261;5486.69;20/04/2024;869746;3589.05
Suriname;condition;Export;Sea;Ryanville;Furniture;9906;9772.18;20/10/2022;179729;2613.37
Korea;follow;Export;Land;Port Michelle;Machinery;1155;3244.98;13/09/2019;863549;1200.91
Saint Vincent and the Grenadines;federal;Export;Air;South Jasonburgh;Electronics;137;6010.63;13/03/2022;302730;557.71
Israel;lose;Export;Land;West Jessicaborough;Toys;2601;7059.53;30/10/2023;397237;351.54
Bahamas;each;Export;Air;Meganville;Electronics;7571;6519.87;15/03/2024;541095;2251.18
Denmark;energy;Export;Air;New John;Clothing;9195;6469.62;22/05/2022;343284;2658.73
Mayotte;leave;Export;Air;West Kayla;Machinery;7580;149.36;17/04/2021;599448;441.77
Cook Islands;brother;Export;Air;South Johnnymouth;Electronics;6059;6110.09;05/06/2024;146673;3749.51
Indonesia;leg;Export;Land;Ashleychester;Furniture;6297;8248.01;29/10/2019;112515;1555.55
El Salvador;ground;Export;Sea;West Kylemouth;Clothing;3792;8709.75;31/01/2023;106055;881.22
Ecuador;American;Export;Land;Aliciaport;Clothing;9073;7035.36;11/07/2021;884444;2298.61
Guam;data;Export;Sea;Lake Haleyport;Electronics;353;6763.48;12/07/2020;958966;1477.58
Hungary;main;Export;Air;West Catherineburgh;Toys;9607;998.98;17/03/2020;209874;3871.57
Cook Islands;agree;Export;Land;West Danielchester;Clothing;2919;442.16;19/05/2023;229156;4994.07
Mauritania;citizen;Export;Land;Monroefort;Toys;3783;3005.85;01/11/2019;990579;4204.92
New Zealand;stuff;Export;Air;Rittermouth;Toys;7403;7893.27;15/04/2024;592514;2863.24
Cyprus;church;Export;Sea;Port Jade;Toys;9343;8222.4;04/10/2020;594278;1130.94
Uruguay;option;Export;Sea;Richardmouth;Clothing;2348;5988.93;13/09/2021;724391;306.93
Gabon;lot;Export;Sea;West James;Machinery;434;3619.94;15/07/2022;215292;4607.78
Netherlands;pick;Export;Air;Kirbybury;Furniture;544;1559.4;10/02/2020;622425;3030.44
Norfolk Island;size;Export;Sea;Claytonton;Machinery;22;5251.28;22/10/2022;782322;4615.56
Turkey;wall;Export;Land;Sanderstown;Machinery;2817;7840.38;01/11/2021;743161;1803.7
New Zealand;station;Export;Air;Lake Aaronberg;Toys;4359;8681.38;18/12/2021;403216;2925.94
Seychelles;bank;Export;Land;South Angela;Furniture;6076;6506.49;07/04/2020;207330;2263.55
Costa Rica;scientist;Export;Sea;Lake Max;Electronics;5770;1268.66;20/05/2024;306475;2538.09
Guinea;group;Export;Land;Jenniferville;Machinery;5902;7867.93;05/06/2020;200374;4402.61
Malta;change;Export;Sea;Bowenton;Toys;7086;4771.26;30/09/2023;634990;3711.22
Tuvalu;last;Export;Sea;New Angelaview;Machinery;5857;8474.1;24/03/2023;419124;874.42
Belarus;difficult;Export;Sea;North Carolberg;Electronics;2669;5047.94;30/01/2024;870151;2432.48
Saint Kitts and Nevis;increase;Export;Sea;Penamouth;Furniture;4390;6347.26;16/10/2023;793889;1894.64
Botswana;response;Export;Air;Lake Kathleenshire;Furniture;7011;1915.82;28/08/2023;519894;2119.19
Equatorial Guinea;will;Export;Land;Brownmouth;Furniture;7824;194.73;19/07/2020;953991;3368.98
Mongolia;firm;Export;Air;Christinachester;Toys;8824;3841.52;12/01/2022;888442;2179.72
Uruguay;choose;Export;Air;East Kaylee;Electronics;1068;891.88;14/01/2023;928748;1866.9
Tajikistan;discuss;Export;Land;North Sarah;Toys;1600;7769.46;26/09/2021;828343;4264.73
Guernsey;local;Export;Air;East Aaronside;Clothing;5546;9039.03;15/10/2019;649628;3619.98
Lao People's Democratic Republic;now;Export;Air;Port Angelafurt;Machinery;1052;950.12;27/03/2023;749474;3507.5
Hungary;small;Export;Sea;Lake John;Electronics;3871;6297.35;30/01/2020;391895;802.23
Antarctica (the territory South of 60 deg S);radio;Export;Land;Lake Joshua;Machinery;195;5234.8;28/12/2021;124471;148.19
Guinea-Bissau;into;Export;Land;Jenniferland;Toys;9272;5620.58;27/09/2019;765750;2295.79
Tunisia;she;Export;Land;New Guytown;Toys;8466;6508.51;03/07/2020;490325;364.64
Gibraltar;four;Export;Sea;Hernandezborough;Clothing;7276;6078.51;07/08/2022;412313;4733.34
Bouvet Island (Bouvetoya);method;Export;Land;New Ericberg;Electronics;7058;3791.4;29/07/2020;927145;826.37
Italy;over;Export;Sea;West Douglashaven;Toys;9472;2044.26;20/11/2020;437484;2159.66
Bermuda;development;Export;Air;Yanghaven;Toys;9467;4524.87;05/09/2023;912598;4493.37
Palestinian Territory;piece;Export;Air;North Jamesstad;Electronics;5918;4101.34;14/08/2024;358419;3703.3
Bosnia and Herzegovina;term;Export;Air;Johnland;Toys;9878;1102.09;19/06/2020;384675;4896.45
Finland;investment;Export;Sea;Katherineport;Furniture;1634;8343.05;11/01/2021;556306;3912.56
Tonga;college;Export;Air;North Laurachester;Clothing;4463;5480.7;16/01/2023;212194;3260.87
Marshall Islands;measure;Export;Sea;Georgemouth;Toys;8174;8461.83;21/02/2023;889082;4060.24
Norfolk Island;course;Export;Land;Ashleyshire;Furniture;9788;7167.13;02/01/2021;778071;1135.35
Canada;as;Export;Land;Chenstad;Clothing;1986;8574.14;21/08/2022;288805;2976.84
Bangladesh;small;Export;Land;New Stacey;Clothing;7893;9385.94;31/03/2024;389824;1918.4
France;plant;Export;Air;Alvaradoborough;Toys;2137;7164.02;12/03/2024;134170;1275.56
Germany;area;Export;Sea;Smithmouth;Furniture;5282;9224.28;12/07/2022;113065;3371.96
Lebanon;order;Export;Sea;West Michael;Clothing;3490;9513.96;21/06/2021;874712;3928.62
Myanmar;begin;Export;Land;Port Christophermouth;Furniture;9943;7594.84;16/05/2021;757764;2070.97
Guernsey;least;Export;Land;East Amyview;Furniture;128;3819.45;21/05/2022;590580;2294.28
Solomon Islands;within;Export;Land;New Victoria;Toys;1737;9722.44;26/10/2020;442721;278.89
North Macedonia;look;Export;Air;Jacobsfort;Electronics;8327;4301.77;05/06/2022;987752;1198.86
Saint Helena;draw;Export;Land;Brendaburgh;Electronics;398;2372.57;07/06/2022;328932;4283.57
Kuwait;improve;Export;Land;Lake Petermouth;Toys;2813;6167.07;30/11/2023;716612;3874.31
Uzbekistan;spring;Export;Air;North Tammy;Clothing;553;1568.29;08/06/2021;424926;2880.53
Bahrain;item;Export;Sea;Port Antonio;Machinery;3675;8802.29;23/11/2020;705234;508.72
Indonesia;myself;Export;Sea;East Joshua;Furniture;9333;283.63;03/04/2020;439327;2801.29
Mozambique;with;Export;Air;South Diane;Furniture;1437;6618.41;26/08/2022;344030;2423.86
Hungary;allow;Export;Sea;Kristiport;Toys;7006;4546.38;12/08/2022;480575;3887.71
Barbados;successful;Export;Air;Frankstad;Machinery;3633;5159.3;16/03/2024;638603;4441.02
Slovakia (Slovak Republic);out;Export;Air;Elizabethview;Clothing;2834;5101.66;28/04/2024;426285;4057.47
Congo;guess;Export;Sea;Virginiahaven;Furniture;7767;4620.79;18/09/2020;117714;2180.56
Uruguay;effect;Export;Air;West Emilymouth;Electronics;2567;6947.92;02/11/2022;921837;3140.25
Central African Republic;could;Export;Sea;North Brittanyburgh;Electronics;2566;8555.09;29/09/2019;231936;1645.28
Micronesia;month;Export;Land;Garciamouth;Toys;197;6331.08;05/11/2023;525015;4787.43
Latvia;yourself;Export;Air;Loristad;Toys;4842;1742.57;26/10/2023;494077;1937.68
Uzbekistan;only;Export;Land;New Alexamouth;Toys;6681;2422.56;04/02/2023;742052;1621.23
British Indian Ocean Territory (Chagos Archipelago);door;Export;Air;Martinport;Electronics;2554;9293.55;13/02/2024;807484;2304.62
Cuba;view;Export;Air;Gregoryside;Clothing;8597;5826.74;20/01/2023;637732;3802.04
Burkina Faso;next;Export;Air;Ashleyberg;Furniture;8922;2974.8;09/02/2024;537004;4018.9
Azerbaijan;let;Export;Air;Port Richardside;Toys;18;7522.87;02/12/2021;916350;4232.99
Portugal;line;Export;Sea;Lake Danielmouth;Clothing;842;1437.14;15/12/2022;709615;2279.1
Colombia;difficult;Export;Sea;New Michaeltown;Toys;7496;6481.93;26/07/2020;421296;3728.99
Brazil;set;Export;Air;Port Dustin;Electronics;9010;8453.22;22/07/2020;836883;2449.76
United States Virgin Islands;wear;Export;Sea;Joshuamouth;Toys;6951;8912.8;09/06/2021;981531;2933.6
South Georgia and the South Sandwich Islands;affect;Export;Sea;Port Brenda;Toys;9841;7212.55;11/08/2024;584325;593.05
South Georgia and the South Sandwich Islands;economy;Export;Air;Pattersonbury;Electronics;1359;9969.95;19/06/2023;204150;3644.1
Tanzania;especially;Export;Sea;West Michaelburgh;Clothing;7445;4738.31;23/01/2022;592271;651.82
New Caledonia;product;Export;Sea;West Justin;Electronics;9789;4247.82;06/08/2020;394499;2518.04
Taiwan;reflect;Export;Land;Port Corey;Furniture;506;3321.64;05/02/2022;981127;1321.04
Bolivia;list;Export;Sea;Santosbury;Toys;2365;3664.72;26/11/2023;273745;4086.16
Timor-Leste;pressure;Export;Air;West Kiaramouth;Furniture;1850;4922.69;14/03/2023;198932;2473.95
Rwanda;eat;Export;Land;Lake Christopherbury;Clothing;4817;3605.39;29/08/2020;874382;4399.88
Estonia;only;Export;Land;Stephaniemouth;Toys;2993;1356.35;09/04/2023;538111;4512.49
Angola;enter;Export;Air;New Michele;Electronics;4597;1031.89;06/05/2024;828556;4405.66
Montserrat;buy;Export;Air;South John;Toys;660;2066;06/03/2021;526844;105.84
Panama;fall;Export;Sea;Jaredfort;Furniture;4296;788.98;14/08/2024;489091;817.53
Korea;onto;Export;Sea;Alvarezburgh;Furniture;2868;6548.72;22/01/2023;566533;3369.34
Lesotho;source;Export;Land;Sandersburgh;Toys;8036;3475.05;09/04/2021;123337;1058.43
Martinique;lead;Export;Land;Scottmouth;Clothing;3640;3312.65;07/11/2020;187596;3405.68
Svalbard & Jan Mayen Islands;poor;Export;Land;Bruceside;Toys;3066;5271.84;25/06/2024;418929;326.38
United States of America;bill;Export;Land;Craigborough;Toys;7484;886.34;28/09/2021;586336;1220.04
Barbados;collection;Export;Air;Davidview;Clothing;5476;1568.42;01/12/2020;103290;1634.73
France;determine;Export;Land;Jeffreyfort;Toys;9692;245.62;21/12/2023;440890;1219.4
Madagascar;job;Export;Land;Lake Christopher;Furniture;9819;1734.74;24/02/2022;432241;385.6
Czech Republic;quickly;Export;Air;Smithmouth;Clothing;8509;2524.63;16/08/2024;983738;2405.03
Cote d'Ivoire;road;Export;Sea;North Sean;Clothing;4007;4121.94;21/10/2020;439972;1351.21
Tunisia;money;Export;Sea;Williamchester;Clothing;4534;6541.78;13/12/2023;981927;869.74
Falkland Islands (Malvinas);benefit;Export;Air;Gonzalezburgh;Furniture;2541;393.05;09/12/2022;158967;1445.39
Mauritania;detail;Export;Air;Lake Allison;Toys;1950;9850.66;10/05/2021;966062;2517.56
Cape Verde;truth;Export;Air;Middletonburgh;Machinery;6337;4786.08;04/11/2020;616472;2064.2
Bolivia;say;Export;Sea;Lake Randall;Furniture;1744;4209.44;07/04/2020;546877;2133.77
Cocos (Keeling) Islands;political;Export;Sea;Nicholasfort;Electronics;1638;321.3;09/07/2023;474406;1836.63
Syrian Arab Republic;serious;Export;Land;Gilesmouth;Clothing;8503;2687.85;27/09/2021;211996;2680.22
Trinidad and Tobago;reflect;Export;Land;East John;Toys;381;7299.18;06/08/2020;304651;2862.52
Trinidad and Tobago;morning;Export;Land;Tabithaborough;Electronics;8925;6706.79;28/02/2020;443312;1280.53
Eritrea;concern;Export;Air;New Robertbury;Clothing;4367;3700.08;29/06/2021;982079;3664.13
Saint Vincent and the Grenadines;role;Export;Land;Owenston;Toys;3306;2179.02;18/08/2023;712014;2623.35
Ukraine;music;Export;Air;Port Thomasfort;Clothing;8000;5924.61;30/08/2021;493103;1774.93
Congo;ever;Export;Sea;Rodriguezstad;Machinery;205;1523.11;04/07/2024;782103;2409.11
Antigua and Barbuda;where;Export;Sea;West Megan;Furniture;7359;4382.32;24/09/2020;831504;4352.16
Lesotho;southern;Export;Air;Port Summertown;Furniture;3301;2081.72;02/05/2022;237141;1800.84
Niue;face;Export;Land;Cynthiachester;Machinery;1665;2265.31;02/07/2021;421647;1975.47
Bermuda;system;Export;Air;Krystalborough;Electronics;8437;8401.29;15/08/2024;503009;3551.14
Portugal;body;Export;Sea;Franklinshire;Furniture;6825;1985.77;11/05/2023;232223;2744.52
Kenya;able;Export;Sea;East Derrickmouth;Machinery;4764;5526.08;03/01/2023;187300;979.98
Spain;know;Export;Air;Ashleyshire;Furniture;2915;6300.87;09/04/2022;518089;1530.74
Kenya;possible;Export;Sea;New Christopher;Clothing;1710;417.47;14/07/2023;209008;3024.4
Japan;relationship;Export;Air;Rochafurt;Machinery;3050;5058.51;20/11/2021;157880;4185.64
Cuba;nearly;Export;Land;Lake Steven;Clothing;8140;2852.91;06/11/2023;280390;4385.77
Kazakhstan;why;Export;Air;Harveyport;Furniture;7920;2945.79;25/11/2020;679796;3427.92
Reunion;involve;Export;Sea;North Courtneyberg;Electronics;6778;2312.93;20/08/2020;241493;3586.96
Guinea;serious;Export;Air;Gibsonside;Toys;3959;3667.8;28/01/2023;496993;2406.73
Brunei Darussalam;situation;Export;Sea;Vegashire;Clothing;348;7687.89;12/08/2020;181419;1269.92
Niger;ability;Export;Sea;Flynnstad;Machinery;6965;1355.78;19/02/2021;922786;2384.91
Guinea;whom;Export;Air;South Michaeltown;Toys;2373;8795.88;28/09/2020;629613;1152.55
Zimbabwe;manager;Export;Sea;Monicaburgh;Clothing;3272;2746.57;11/12/2019;765161;2169.04
Tokelau;hospital;Export;Air;Port Michaeltown;Furniture;5124;1844.29;11/05/2023;400771;4405.5
Czech Republic;onto;Export;Land;East Krystalchester;Toys;786;9420.86;28/07/2022;979004;2563.76
Gambia;age;Export;Land;Lake Kimberlyfort;Furniture;8659;3044.62;04/01/2021;422347;1257.16
Cambodia;chair;Export;Sea;East Saramouth;Clothing;654;314.58;10/10/2021;548669;4257.11
Turks and Caicos Islands;left;Export;Air;Port David;Toys;3898;3390.28;07/06/2021;592467;3025.31
Slovakia (Slovak Republic);type;Export;Sea;South Alexandraland;Electronics;3671;9731.76;07/03/2021;779167;3010.75
Tokelau;several;Export;Air;Rachelville;Furniture;6247;8136.74;22/07/2021;977534;4214.62
Mauritania;including;Export;Land;Jasonhaven;Electronics;6029;3509.04;05/03/2021;592257;2494.19
Ukraine;court;Export;Air;Markville;Furniture;5380;336.78;16/04/2020;600449;3288.15
Suriname;raise;Export;Air;Port Thomas;Furniture;841;480.06;09/05/2022;533801;225.24
British Virgin Islands;oil;Export;Land;West Amandahaven;Electronics;6784;897.19;04/04/2022;715559;126.51
Cape Verde;although;Export;Land;Lake Jimmyberg;Furniture;5243;8390.51;17/01/2024;872944;4999.52
Bahrain;term;Export;Land;Jonesland;Toys;9573;2427.02;03/03/2024;819728;3283.99
Moldova;decision;Export;Land;Jessicafort;Clothing;9897;833.71;04/01/2023;806581;2050.92
Chile;scene;Export;Air;South Jennifertown;Clothing;3577;6033.58;16/10/2023;786907;3238.61
Western Sahara;air;Export;Air;Dennismouth;Furniture;6548;9413.15;13/04/2022;942127;4907.02
Panama;by;Export;Land;Heidifort;Clothing;3359;801.57;23/10/2023;233671;1138.84
Kenya;north;Export;Land;South Jodi;Machinery;5836;8896.22;25/01/2020;440784;317.68
Tanzania;charge;Export;Land;Huffmanshire;Clothing;6793;4606.82;23/05/2024;126336;55.7
Saint Barthelemy;long;Export;Sea;West Jasonchester;Electronics;293;1757.21;03/04/2023;358695;2187.81
Gambia;federal;Export;Sea;South Charlesville;Clothing;2914;588.26;08/04/2020;694464;1710.23
Isle of Man;middle;Export;Land;Deborahview;Furniture;3165;8578.57;20/10/2021;210341;3289.16
Somalia;reach;Export;Land;Maryshire;Machinery;1793;9431.02;04/04/2022;551784;1058.92
Antigua and Barbuda;his;Export;Sea;North Bryanside;Electronics;321;6270.31;24/04/2021;840276;4051.14
Namibia;loss;Export;Sea;Kimberlyfurt;Toys;1700;150.36;06/09/2020;173950;1282.12
Burkina Faso;ago;Export;Land;Port Davidhaven;Toys;9519;4584.42;16/12/2021;884101;2722.13
Austria;business;Export;Sea;South Glenn;Electronics;7908;7806.22;05/03/2024;621951;184.22
Iraq;spring;Export;Air;East Andrew;Furniture;8567;3236.84;27/06/2022;725627;882.49
Lao People's Democratic Republic;reveal;Export;Land;Jessicamouth;Electronics;200;783.88;15/02/2023;920035;1186.4
Barbados;beautiful;Export;Air;North Emily;Clothing;1024;4185.48;28/06/2022;827325;245.03
Moldova;me;Export;Land;Juarezside;Machinery;9151;418.6;18/12/2021;221398;406
Grenada;stop;Export;Land;Salazartown;Toys;3890;3917.78;24/07/2024;950024;489.42
Switzerland;thought;Export;Sea;Robertton;Electronics;8606;4436.55;08/01/2020;324526;4535.22
Estonia;forget;Export;Air;Lisaside;Furniture;8303;7714.3;13/12/2023;428608;4478.43
Congo;news;Export;Air;Port Sherry;Toys;3959;1495.97;03/09/2020;898752;2950.49
Paraguay;others;Export;Air;Cassidyborough;Machinery;6784;3521.41;19/06/2021;543605;2294.29
Serbia;southern;Export;Land;Beasleyburgh;Toys;3194;4291.32;12/08/2021;787341;3944.09
Anguilla;toward;Export;Sea;North Audrey;Clothing;6445;8455.7;26/04/2023;665443;4486.48
Angola;operation;Export;Sea;Randallland;Machinery;9319;1727.22;15/03/2021;601121;4037.32
Congo;make;Export;Sea;Lake Laura;Machinery;6065;9068.55;22/01/2021;762991;2224.1
Saudi Arabia;Mrs;Export;Land;West Davidport;Furniture;725;7330.64;17/03/2023;108318;4660
France;fly;Export;Air;Lawrencetown;Furniture;9712;163.97;07/02/2021;577690;2220.6
Saint Pierre and Miquelon;down;Export;Land;Kevintown;Machinery;9868;9896.99;22/10/2022;171288;106.73
Belize;leg;Export;Land;Port Samuel;Electronics;5449;4445.43;22/08/2022;444658;3899.89
United States Minor Outlying Islands;language;Export;Sea;Walkerside;Electronics;642;4317.92;10/02/2022;511820;2516.74
Burundi;bad;Export;Sea;Sweeneyfurt;Electronics;1186;2186.58;05/03/2023;779128;3682.47
Hong Kong;say;Export;Land;Jackchester;Clothing;8296;8246.86;24/02/2021;989535;3842.41
Zambia;art;Export;Sea;West Ian;Machinery;5307;9991.77;06/07/2022;973134;2944.7
Dominican Republic;others;Export;Sea;Aliciamouth;Machinery;7459;9848.79;14/09/2023;936116;1736.48
Germany;woman;Export;Sea;Lake Ericachester;Electronics;4402;2506.89;19/04/2020;590842;1862.12
Samoa;consumer;Export;Air;Robertsonhaven;Clothing;8997;6945.56;12/07/2021;118479;2196.51
Vietnam;of;Export;Sea;North Kaylahaven;Furniture;3778;2319.38;27/08/2022;352112;3704.27
Austria;add;Export;Air;West Nicholas;Machinery;3734;3312.72;18/07/2022;170790;4638.21
Barbados;prevent;Export;Air;East Morgan;Machinery;6498;8856.19;23/09/2021;534728;950.06
British Indian Ocean Territory (Chagos Archipelago);history;Export;Sea;Port Melissachester;Electronics;2086;8879.38;14/12/2019;811320;1660.01
Finland;sound;Export;Sea;North Micheal;Furniture;6492;871.59;09/11/2022;102107;3906.45
Georgia;indeed;Export;Land;East Stephanie;Toys;2264;7356.13;20/06/2023;263497;2956.47
Belgium;modern;Export;Sea;Bethmouth;Machinery;3508;8483.81;19/06/2024;318961;1677.08
Saint Martin;now;Export;Sea;West Stephanie;Toys;2470;5198.35;30/06/2021;470111;326.78
Gabon;across;Export;Air;Lauraville;Furniture;820;6780.5;09/04/2021;841919;2584.94
Kyrgyz Republic;because;Export;Land;Jameschester;Machinery;3446;4912.4;14/07/2024;594448;3503.66
Tokelau;task;Export;Sea;Jonathanport;Machinery;2029;779.46;27/04/2024;451197;2541.29
Greece;collection;Export;Sea;Fryshire;Machinery;3446;6153.66;22/03/2020;397173;1035.85
Norway;technology;Export;Air;Timothychester;Machinery;2420;2003.06;28/03/2021;752735;680.65
Comoros;effect;Export;Air;West Michaelberg;Machinery;9454;9675.77;25/03/2021;631050;3327.12
Pakistan;wind;Export;Land;Thomasfurt;Machinery;4197;8807.64;09/07/2024;996927;2575.51
Marshall Islands;kitchen;Export;Air;North Taylorland;Clothing;4595;7119.31;04/05/2021;691149;2652.4
Grenada;how;Export;Air;Anthonymouth;Toys;3132;534.5;30/05/2021;186164;269.49
British Indian Ocean Territory (Chagos Archipelago);indeed;Export;Land;New Edward;Furniture;5479;4860.15;26/12/2021;171013;4683.34
Bahamas;police;Export;Sea;Lake Pamela;Machinery;2746;5871.65;05/11/2020;588530;841.05
Iceland;condition;Export;Land;Melaniefurt;Clothing;4712;6791.8;14/11/2022;227492;4439.54
Lebanon;marriage;Export;Air;Melissaton;Clothing;1226;1037.48;09/06/2023;751866;2871.4
Fiji;sell;Export;Sea;West Carol;Furniture;9138;2612.43;25/08/2022;504350;4913.73
Tanzania;just;Export;Sea;East Jamesborough;Electronics;3908;9748.4;09/06/2022;624546;309.87
Martinique;by;Export;Land;Port Frederick;Machinery;350;1416.36;09/11/2022;233870;7.6
Palestinian Territory;early;Export;Air;Port Williestad;Furniture;2821;1289.11;25/01/2022;622244;2183.13
British Virgin Islands;far;Export;Sea;Nicholasland;Electronics;1851;1520.73;29/06/2023;222880;1221.22
Egypt;pay;Export;Air;Perryshire;Electronics;1580;5452.81;24/04/2020;185982;2876.8
Antigua and Barbuda;information;Export;Land;Lake Kristina;Furniture;858;4667.87;06/12/2023;702106;1701.26
Lebanon;heavy;Export;Land;Weaverville;Machinery;8342;6061.87;20/10/2019;609030;3445.88
